Old,New,OMXOld,OMXNew,
1,1,0,0,0
2,2,1,1,1
3,3,2,2,2
4,4,3,3,3
5,5,4,4,4
6,6,5,5,5
7,7,6,6,6
8,8,7,7,7
9,9,8,8,8
10,10,9,9,9
11,11,10,10,10
12,12,11,11,11
13,13,12,12,12
14,14,13,13,13
15,15,14,14,14
16,16,15,15,15
17,17,16,16,16
18,18,17,17,17
19,19,18,18,18
20,20,19,19,19
21,21,20,20,20
22,22,21,21,21
23,23,22,22,22
24,24,23,23,23
25,25,24,24,24
26,26,25,25,25
27,27,26,26,26
28,28,27,27,27
29,29,28,28,28
30,30,29,29,29
31,31,30,30,30
32,32,31,31,31
33,33,32,32,32
34,34,33,33,33
35,35,34,34,34
36,36,35,35,35
37,37,36,36,36
38,38,37,37,37
39,39,38,38,38
40,40,39,39,39
41,41,40,40,40
42,42,41,41,41
43,43,42,42,42
44,44,43,43,43
45,45,44,44,44
46,46,45,45,45
47,47,46,46,46
48,48,47,47,47
49,49,48,48,48
50,50,49,49,49
51,51,50,50,50
52,52,51,51,51
53,53,52,52,52
54,54,53,53,53
55,55,54,54,54
56,56,55,55,55
57,57,56,56,56
58,58,57,57,57
59,59,58,58,58
60,60,59,59,59
61,61,60,60,60
62,62,61,61,61
63,63,62,62,62
64,64,63,63,63
65,65,64,64,64
66,66,65,65,65
67,67,66,66,66
68,68,67,67,67
69,69,68,68,68
70,70,69,69,69
71,71,70,70,70
72,72,71,71,71
73,73,72,72,72
74,74,73,73,73
75,75,74,74,74
76,76,75,75,75
77,77,76,76,76
78,78,77,77,77
79,79,78,78,78
80,80,79,79,79
81,81,80,80,80
82,82,81,81,81
83,83,82,82,82
84,84,83,83,83
85,85,84,84,84
86,86,85,85,85
87,87,86,86,86
88,88,87,87,87
89,89,88,88,88
90,90,89,89,89
91,91,90,90,90
92,92,91,91,91
93,93,92,92,92
94,94,93,93,93
95,95,94,94,94
96,96,95,95,95
97,97,96,96,96
98,98,97,97,97
99,99,98,98,98
100,100,99,99,99
101,101,100,100,100
102,102,101,101,101
103,103,102,102,102
104,104,103,103,103
105,105,104,104,104
106,106,105,105,105
107,107,106,106,106
108,108,107,107,107
109,109,108,108,108
110,110,109,109,109
111,111,110,110,110
112,112,111,111,111
113,113,112,112,112
114,114,113,113,113
115,115,114,114,114
116,116,115,115,115
117,117,116,116,116
118,118,117,117,117
119,119,118,118,118
120,120,119,119,119
121,121,120,120,120
122,122,121,121,121
123,123,122,122,122
124,124,123,123,123
125,125,124,124,124
126,126,125,125,125
127,127,126,126,126
128,128,127,127,127
129,129,128,128,128
130,130,129,129,129
131,131,130,130,130
132,132,131,131,131
133,133,132,132,132
134,134,133,133,133
135,135,134,134,134
136,-1,135,-2,135
137,-1,136,-2,136
138,-1,137,-2,137
139,-1,138,-2,138
140,-1,139,-2,139
141,136,140,135,140
142,137,141,136,141
143,138,142,137,142
144,139,143,138,143
145,140,144,139,144
146,141,145,140,145
147,142,146,141,146
148,143,147,142,147
149,144,148,143,148
150,145,149,144,149
151,146,150,145,150
152,147,151,146,151
153,148,152,147,152
154,149,153,148,153
155,150,154,149,154
156,151,155,150,155
157,152,156,151,156
158,153,157,152,157
159,154,158,153,158
160,155,159,154,159
161,156,160,155,160
162,157,161,156,161
163,158,162,157,162
164,159,163,158,163
165,160,164,159,164
166,161,165,160,165
167,162,166,161,166
168,163,167,162,167
169,164,168,163,168
170,165,169,164,169
171,166,170,165,170
172,167,171,166,171
173,168,172,167,172
174,169,173,168,173
175,170,174,169,174
176,171,175,170,175
177,172,176,171,176
178,173,177,172,177
179,174,178,173,178
180,175,179,174,179
